"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","470uF","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"D1","LED","~","","1",""
"J1,J3","Conn_01x18_Pin","~","-- mixed values --","2",""
"J2,J4","Conn_01x13_Pin","~","-- mixed values --","2",""
"Q1","2N3906","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q2,Q3,Q4","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","3",""
"R1","180","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1",""
"R3,R8","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2",""
"R5,R9,R10,R11","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","4",""
"R7","2.2K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1",""
